"Geography (5,6)",2014,2015
Total police-reported hate crime,1295,1362
Total police-reported hate crime,3.7,3.8
Total Non-Census metropolitan area,199,227
Total Non-Census metropolitan area,1.9,2.1
Total Census metropolitan area (7),1096,1135
Total Census metropolitan area (7),4.4,4.5
Abbotsford?Mission [59932] ,4,7
Abbotsford?Mission [59932] ,2.2,3.8
Barrie [35568] ,1,0
Barrie [35568] ,0.5,0
Brantford [35543] ,3,5
Brantford [35543] ,2.2,3.6
Calgary [48825] ,76,68
Calgary [48825] ,5.4,4.7
Edmonton [48835] ,36,81
Edmonton [48835] ,2.7,6
Gatineau [24505]  (8),3,8
Gatineau [24505]  (8),0.9,2.4
Greater Sudbury [35580] ,0,1
Greater Sudbury [35580] ,0,0.6
Guelph [35550] ,3,0
Guelph [35550] ,2.3,0
Halifax [12205] ,7,8
Halifax [12205] ,1.7,1.9
Hamilton [35537]  (9),82,55
Hamilton [35537]  (9),14.9,9.9
Kelowna [59915] ,2,3
Kelowna [59915] ,1.1,1.5
Kingston [35521] ,8,8
Kingston [35521] ,4.8,4.8
Kitchener?Cambridge?Waterloo [35541] ,28,51
Kitchener?Cambridge?Waterloo [35541] ,5.2,9.4
London [35555] ,18,20
London [35555] ,3.6,3.9
Moncton [13305]  (10),5,2
Moncton [13305]  (10),3.2,1.3
Montréal [24462] ,130,169
Montréal [24462] ,3.2,4.2
Ottawa [35505]  (11),83,73
Ottawa [35505]  (11),8.4,7.3
Peterborough [35529] ,11,9
Peterborough [35529] ,9,7.4
Québec [24421] ,50,28
Québec [24421] ,6.3,3.5
Regina [47705] ,2,1
Regina [47705] ,0.8,0.4
Saguenay [24408] ,3,5
Saguenay [24408] ,1.8,3
Saint John [13310]  (10),0,3
Saint John [13310]  (10),0,2.4
Saskatoon [47725] ,1,7
Saskatoon [47725] ,0.3,2.3
Sherbrooke [24433] ,8,8
Sherbrooke [24433] ,4.1,4
St. Catharines?Niagara [35539] ,10,9
St. Catharines?Niagara [35539] ,2.2,2
St. John's [10001] ,0,1
St. John's [10001] ,0,0.5
Thunder Bay [35595] ,16,27
Thunder Bay [35595] ,13.2,22.3
Toronto [35535]  (12),318,295
Toronto [35535]  (12),5.8,5.4
Trois-Rivières [24442] ,0,2
Trois-Rivières [24442] ,0,1.3
Vancouver [59933] ,116,116
Vancouver [59933] ,4.7,4.6
Victoria [59935] ,17,7
Victoria [59935] ,4.7,1.9
Windsor [35559] ,12,4
Windsor [35559] ,4,1.3
Winnipeg [46602] ,18,25
Winnipeg [46602] ,2.3,3.1
