Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,22,,,,,,,,,,5
Total Other Criminal Code violations,,,346,,,,,,,,,,519
Total Other Criminal Code violations,,,2,,,,,,,,,,0
Total Other Criminal Code violations,,,11,,,,,,,,,,20
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,6,,,,,,,,,,5
Total Other Criminal Code violations,,,12,,,,,,,,,,3
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,85,,,,,,,,,,116
