Geography,2015,2016
Canada (10),82697,84489
Canada (10),60516,62183
Canada (10),8629,8784
Canada (10),6126,6176
Canada (10),2502,2608
Canada (10),17509,18032
Canada (10),15802,16293
Canada (10),3790,3868
Canada (10),9534,9965
Canada (10),2478,2460
Canada (10),1707,1739
Canada (10),4490,4704
Canada (10),2187,2246
Canada (10),2166,2300
Canada (10),947,935
Canada (10),1088,1218
Canada (10),465,537
Canada (10),3374,3371
Canada (10),11761,11909
Canada (10),10538,10660
Canada (10),1224,1249
Canada (10),2361,2574
Canada (10),1643,1824
Canada (10),1316,1311
Canada (10),3981,3935
Canada (10),954,914
Canada (10),261,200
Canada (10),2148,2132
Canada (10),618,689
Canada (10),1540,1688
Canada (10),168,156
Canada (10),1336,1406
Canada (10),180,217
Canada (10),1703,1794
Canada (10),15334,15310
Canada (10),4880,5067
Canada (10),1967,1929
