"Age at time of death (6,7,10)",2014,2015
"Age at time of death, all ages",258821,264333
"Age at time of death, all ages",10,12
"Age at time of death, all ages",0,0
"Age at time of death, all ages",1127,1091
"Age at time of death, all ages",81,107
"Age at time of death, all ages",2,0
"Age at time of death, all ages",1,1
"Age at time of death, all ages",7,6
"Age at time of death, all ages",2359,2487
"Age at time of death, all ages",3,4
"Age at time of death, all ages",0,0
"Age at time of death, all ages",0,0
"Age at time of death, all ages",1,0
"Age at time of death, all ages",556,528
"Age at time of death, all ages",205,190
"Age at time of death, all ages",1,1
"Age at time of death, all ages",528,537
"Age at time of death, all ages",77059,77054
"Age at time of death, all ages",1461,1526
"Age at time of death, all ages",459,471
"Age at time of death, all ages",7071,7172
"Age at time of death, all ages",169,218
"Age at time of death, all ages",68,53
"Age at time of death, all ages",2456,2543
"Age at time of death, all ages",6410,6587
"Age at time of death, all ages",69260,70036
"Age at time of death, all ages",323,331
"Age at time of death, all ages",6597,7630
"Age at time of death, all ages",132,132
"Age at time of death, all ages",11876,12573
"Age at time of death, all ages",108,105
"Age at time of death, all ages",1267,1271
"Age at time of death, all ages",3375,3500
"Age at time of death, all ages",409,401
"Age at time of death, all ages",52,41
"Age at time of death, all ages",363,374
"Age at time of death, all ages",3126,3176
"Age at time of death, all ages",423,449
"Age at time of death, all ages",3098,3129
"Age at time of death, all ages",124,121
"Age at time of death, all ages",111,148
"Age at time of death, all ages",16,20
"Age at time of death, all ages",23,27
"Age at time of death, all ages",1100,1067
"Age at time of death, all ages",1008,995
"Age at time of death, all ages",2599,3460
"Age at time of death, all ages",35990,37244
"Age at time of death, all ages",11724,11833
"Age at time of death, all ages",4254,4405
"Age at time of death, all ages",439,456
"Age at time of death, all ages",15,13
"Age at time of death, all ages",828,664
"Age at time of death, all ages",0,0
"Age at time of death, all ages",147,144
