Estimates,2015,2017
Compensation of employees,1020332,1106204
Wages and salaries,879564,951508
Employers' social contributions,140768,154696
Gross operating surplus,522236,575000
Net operating surplus: corporations,242372,278320
Consumption of fixed capital: corporations,213308,225096
Consumption of fixed capital: general governments and non-profit institutions serving households,66556,71584
Gross mixed income,228684,252984
Net mixed income,172076,190464
Consumption of fixed capital: unincorporated businesses,56608,62520
Taxes less subsidies on production,86228,97500
Taxes less subsidies on products and imports,129888,147876
Statistical discrepancy,-1488,416
Gross domestic product at market prices,1985880,2179980
