Geography,2012,2016
Canada (9),75695,84489
Canada (9),56330,62183
Canada (9),7760,8784
Canada (9),5564,6176
Canada (9),2195,2608
Canada (9),15807,18032
Canada (9),14364,16293
Canada (9),3521,3868
Canada (9),8536,9965
Canada (9),2307,2460
Canada (9),1444,1739
Canada (9),4122,4704
Canada (9),1851,2246
Canada (9),2165,2300
Canada (9),978,935
Canada (9),1055,1218
Canada (9),485,537
Canada (9),3461,3371
Canada (9),11202,11909
Canada (9),10076,10660
Canada (9),1126,1249
Canada (9),2303,2574
Canada (9),1594,1824
Canada (9),1194,1311
Canada (9),3808,3935
Canada (9),920,914
Canada (9),334,200
Canada (9),1848,2132
Canada (9),706,689
Canada (9),1410,1688
Canada (9),213,156
Canada (9),1244,1406
Canada (9),202,217
Canada (9),1440,1794
Canada (9),13240,15310
Canada (9),4284,5067
Canada (9),1840,1929
